product_name,category,efresh_url,marketin_url,price_efresh,price_per_unit_efresh,description_efresh,image_url_efresh,price_marketin,price_per_unit_marketin,nutritional_info_marketin,scraped_from
MIMIKOS Σνίτσελ Κοτολουχουδιές (470g),Κρέας & Πουλερικά,https://www.e-fresh.gr/el/snitsel-apo-fileto-kotopoyloy-mimikos-470-g,https://www.market-in.gr/el-gr/kreopoleio-kreopoleio-kotopoula-nopa-tupopoihmena/mimikos-kotopoulo-snitsel-470gr,7.06,15.021 € / kg,"Παναρισμένα φιλέτα κοτόπουλου έτοιμα για ψήσιμο ή τηγάνισμα. Θα είναι έτοιμα να τα απολαύσετε μέσα σε λίγα λεπτά. Τρόπος Διατήρησης Διατηρούνται στους 0-4οC  σφραγισμένα μέσα στη συσκευασία τους μέχρι την ημερομηνία λήξης. Για να απολαύσετε την ποιότητα και τη γεύση των Κοτολιχουδιών MIMIKOS συνιστούμε τη διατήρηση τους στη συντήρηση του ψυγείου σας. Η νέα τους συσκευασία έτσι κι αλλιώς επιτρέπει να τα διατηρήσετε για ακόμα μεγαλύτερο διάστημα. Αν ανοίξετε την συσκευασία θα πρέπει να καταναλώσετε το προϊόν μέσα σε μια ημέρα. Τρόποι Χρήσης 1) Φριτέζα/ Τηγάνι: Προθερμαίνετε το λάδι στους 180οC. Αδειάζετε προσεκτικά το περιεχόμενο στη φριτέζα/τηγάνι. Τηγανίζετε για 3 λεπτά* περίπου, εναλλάσσοντας τις δύο πλευρές. Για να παραμείνουν τα σνίτσελ τραγανά, πριν τα σερβίρετε, αφήστε τα για λίγο πάνω σε απορροφητικό χαρτί. 2) Φούρνος: Προθερμαίνετε το φούρνου στους 200οC. Τοποθετείτε το περιεχόμενο σε ταψάκι. Ψήνετε για 10 λεπτά* περίπου. *Σας επισημαίνουμε ότι οι ηλεκτρικές συσκευές διαφέρουν η μία από την άλλη και για το λόγο αυτό πιθανόν να χρειαστεί να προσαρμόσετε το χρόνο μαγειρέματος στη δική σας συσκευή.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/3/4100009733/5201063014224-highres-1.jpg?id=1594217178,7.05,15€ ανά κιλό,"Διατροφικά Στοιχεία
Διατροφικά Στοιχεία Ανά 100g
Ενέργεια 820 kJ / 196 kcal
Λιπαρά  9,6g
κορεσμένα 4,1g
Υδατάνθρακες 9,7g
σάκχαρα 0,4g
Πρωτεϊνες 17,7g
Αλάτι  1,5g","['efresh', 'marketin']"
Atlantikos Cocktail Θαλασσινών Κατεψυγμένα (425g),Ψάρια & Θαλασσινά,https://www.e-fresh.gr/el/cocktail-thalassinwn-me-laxanika-katepsygmena-atlantikos-425g,https://www.market-in.gr/el-gr/katepsugmena-katapsuksh-psaria-katepsugmena/atlantikos-meigma-thalassinon-ktps-500-gr-,3.79,8.918 € / kg,"Το μείγμα Θαλασσινών με λαχανικά και σάλτσα ντομάτας είναι έτοιμο για μαγείρεμα. Η ιδανική επιλογή για να εντυπωσιάσετε μόνο σε 11 λεπτά. Δημιουργήστε ριζότο ή μακαρόνια θαλασσινών από εκλεκτές πρώτες ύλες , με υπέροχο άρωμα για να ένα γευστικό αποτέλεσμα. Προιον βαθείας κατάψυξης. Διατηρείται υπό κατάψυξη (<-18C).",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/7/4100142207/meigma-thalassinwn-500gr.png?id=1643883281,4.25,10€ ανά κιλό,"Διατροφικά Στοιχεία
Ενέργεια: 320 Kj/76Kcal
Λιπαρά: 1,7 gr
εκ των οποίων κορεσμένα 0,6 gr
Υδατάνθρακες:  3,0 gr
εκ των οποίων σάκχαρα < 0,05 gr
Πρωτεΐνες: 12 gr
Αλάτι: 1,5 gr","['efresh', 'marketin']"
Atlantikos Μπακαλιάρος Φιλέτο Pollock Κατεψυγμένος (700g),Ψάρια & Θαλασσινά,https://www.e-fresh.gr/el/mpakaliaros-fileto-pollock-xalmyrismenos-se-merides-katepsygmenos-atlantikos-700g-kb595g,https://www.market-in.gr/el-gr/katepsugmena-katapsuksh-psaria-katepsugmena/atlantikos-mpakaliaros-fileto-pollock-ktps-fao61-700gr-,6.49,10.908 € / kg,"Ο Μπακαλιάρος Pollock ελαφρώς αλατισμένος Ατλαντικός είναι φιλεταρισμένος, καθαρισμένος σε μερίδες για μεγαλύτερη ευκολία. Θυμίζει τον παραδοσιακό ξαλμυρισμένο μπακαλιάρο αλλά δεν χρειάζεται η διαδικασία ξαρμυρίσματος. Ιδανικός για τηγάνι , φούρνο και κατσαρόλα. Μην ξεχάσετε να τον συνοδεύσετε με την παραδοσιακή σκορδαλιά. Προιον βαθείας κατάψυξης. Διατηρείται υπό κατάψυξη (<-18C).",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/5/4100018275/13.00.0045-500x500.jpg?id=1561385572,5.09,"8,55€ ανά κιλό","Διατροφικά Στοιχεία
Ενέργεια: 221 Kj/52Kcal
Λιπαρά: 1,1 gr
εκ των οποίων κορεσμένα 0,2 gr
Υδατάνθρακες: <0,1 gr
εκ των οποίων σάκχαρα 0,0 gr
Πρωτεΐνες: 10,1gr
Αλάτι: 0,22 gr","['efresh', 'marketin']"
Atlantikos Γαρίδες Νο1 Αργεντινής (400g),Ψάρια & Θαλασσινά,https://www.e-fresh.gr/el/garides-no1-argentinhs-400g-kb340g,https://www.market-in.gr/el-gr/katepsugmena-katapsuksh-psaria-katepsugmena/atlantikos-garides-argentinis-n1-fao041-400gr-,8.93,22.325 € / kg,Η Γαρίδα Γαμπαρη Αργεντινής είναι ιδανική για ξεχωριστά πιάτα που εντυπωσιάζουν. Μαγειρέψετε της στο τηγάνι ή στην κατσαρόλα.,https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/3/4100144013/garida-no-1-argentinhs-400-gr-340-gr-kb.png?id=1675252299,7.99,"23,5€ ανά κιλό",,"['efresh', 'marketin']"
Φρεσκούλης Σαλάτα Ιταλιάνα (100g),Έτοιμες Σαλάτες,https://www.e-fresh.gr/el/salata-italiana-freskoylhs-100-g-1,https://www.market-in.gr/el-gr/manabikh-manabikh-salates-freskies-etoimes/freskoulhs-salata-italiana-100-gr-,1.08,10.800 € / kg,"Ο Φρεσκούλης δημιουργεί καθημερινά για εσάς φρεσκοκομμένες, φρεσκοπλυμένες, νόστιμες έτοιμες σαλάτες λαχανικών, σαλάτες γεύματα και φρουτοσαλάτες σε μεγάλη ποικιλία για όλες τις διαθέσεις. Είναι τόσο εύκολο να τρώμε σωστά! Ολόφρεσκες σαλάτες με διαλεγμένα λαχανικά.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/7/4100017657/thumbs/freskoulis-italiana-100gr.jpg?id=1612375741,0.99,"9,9€ ανά κιλό","Διατροφικά Στοιχεία
Ενέργεια 105Kj/25Kcal
Λιπαρά 0,1 gr
εκ των οποίων κορεσμένα 0,0gr
Υδατάνθρακες 3,4 gr
εκ των οποίων σάκχαρα 1,2 gr
Πρωτεϊνες 1,6 gr
Αλάτι 0,03 gr","['efresh', 'marketin']"
Φρεσκούλης Σαλάτα Γουστόζα (100g),Έτοιμες Σαλάτες,https://www.e-fresh.gr/el/salata-goystoza-freskoylhs-100-g,https://www.market-in.gr/el-gr/manabikh-manabikh-salates-freskies-etoimes/freskoulhs-salata-goustoza-100-gr-,1.1,11.000 € / kg,"Ο Φρεσκούλης δημιουργεί καθημερινά για εσάς φρεσκοκομμένες, φρεσκοπλυμένες, νόστιμες έτοιμες σαλάτες λαχανικών, σαλάτες γεύματα και φρουτοσαλάτες σε μεγάλη ποικιλία για όλες τις διαθέσεις. Είναι τόσο εύκολο να τρώμε σωστά! Ολόφρεσκες σαλάτες με διαλεγμένα λαχανικά.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/6/4100017656/freskoulis-goustoza-atomiki-mov-100gr.jpg?id=1593091427,0.99,"9,9€ ανά κιλό","Διατροφικά Στοιχεία
Ενέργεια 117Kj/28Kcal
Λιπαρά 0,3 gr
εκ των οποίων κορεσμένα 0,0gr
Υδατάνθρακες 3,6 gr
εκ των οποίων σάκχαρα 2,1 gr
Πρωτεϊνες 1,8 gr
Αλάτι 0,03 gr","['efresh', 'marketin']"
ΦΑΓΕ Total Γιαούρτι Στραγγιστό 0% (500g),Γαλακτοκομικά & Γιαούρτια,https://www.e-fresh.gr/el/giaoyrti-straggisto-total-0-lipara-fage-500-g,https://www.market-in.gr/el-gr/galaktokomika-proionta-psugeiou-giaourtia-kai-epidorpia-giaourtia-straggista/fage-total-giaourti-straggisto-0-500gr,3.0,6.000 € / kg,"Το ελληνικό στραγγιστό γιαούρτι ΦΑΓΕ είναι μια εξαιρετική τροφή. Φτιαγμένο με την αυθεντική συνταγή, που χρονολογείται από το 1926, δεν περιέχει πρόσθετα γλυκαντικά, πηκτικά, συντηρητικά, γάλα σε σκόνη, κρέμα γάλακτος σε σκόνη ή σκόνη πρωτείνης. Μόνο γάλα, ανθόγαλα και ζωντανή καλλιέργεια γιαουρτιού δημιουργούν το 100% φυσικό στραγγιστό γιαούρτι ΦΑΓΕ, και επειδή είναι στραγγιστό, έχει περισσότερες πρωτείνες από ό, τι άλλα γιαούρτια. Ένα εξαιρετικά νόστιμο γιαούρτι φτιαγμένο με 100% φυσικά συστατικά.Τόσο πλούσιο και κρεμώδες, κι όμως χωρίς καθόλου λιπαρά. Το Total 0% δεν είναι ένα απλό γιαούρτι, είναι πρόκληση. Χωρίς λιπαρά. Υψηλή περιεκτικότητα σε πρωτείνη. Πλούσιο σε ασβέστιο. Κατάλληλο για χορτοφάγους.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/6/4100150026/500gr-5201054018828-02.jpg?id=1743093154,2.99,"5,98€ ανά κιλό",,"['efresh', 'marketin']"
ΜΕΒΓΑΛ Harmony Gourmet Επιδόρπιο Στραγγιστού Γιαουρτιού Cookies & Cream (160g),Γαλακτοκομικά & Γιαούρτια,https://www.e-fresh.gr/el/epidorpio-straggistoy-giaoyrtioy-cookies-cream-me-brownies-harmony-gourmet-mebgal-160g,https://www.market-in.gr/el-gr/galaktokomika-proionta-psugeiou-kremes-glukismata-gluka-epidorpia-galaktos/mevgal-gourmet-epidorpio-cream-cookies-160gr,1.68,10.500 € / kg,"Η καταπληκτική γεύση των Cookies and cream έχει συνδυαστεί αρμονικά με τα brownies, ανεβάζοντας τον πήχη στα gourmet γαλακτοκομικά. Ένα εκλεκτό μίνι γεύμα για κάθε ώρα της ημέρας! Με κουταλάκι στον περιέκτη, μπορείς να το απολαύσεις εύκολα όπου κι αν βρίσκεσαι!",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/1/4100142741/harmony-gourmet-cookies-cream.png?id=1652971660,1.68,"10,5€ ανά κιλό","Διατροφικά Στοιχεία
Ανά 100g
Ενέργεια 485kJ/115kcal
Λιπαρά 	2,3g
εκ των οποίων κορεσμένα 1,3g
Υδατάνθρακες 17,4g
εκ των οποίων σάκχαρα 15,1g
Φυτικές ίνες 0,5g
Πρωτεΐνες 5,9g
Αλάτι 0,11g","['efresh', 'marketin']"
"ΜΕΒΓΑΛ Αριάνι Χωρίς Γλουτένη 1,5% λιπαρά (500ml)",Γαλακτοκομικά & Γιαούρτια,https://www.e-fresh.gr/el/ariani-15-lipara-mebgal-500-ml,https://www.market-in.gr/el-gr/galaktokomika-proionta-psygeiou-galata-gala-fresko-ksinogala/mevgal-ariani-gala-agelados-xoris-gloutenh-1-5-500ml,1.29,2.580 € / lt,"Η Μεβγάλ επεκτείνοντας την γκάμα των προϊόντων της, πρόσφατα λανσάρισε το νέο προϊόν με βάση το φρέσκο γάλα, το Αριάνι Μεβγάλ. Ρόφημα γάλακτος από ημιαποβουτυρωμένο γάλα αγελάδος 1,5% λιπαρά με πολύτιμη καλλιέργεια γιαούρτης.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/6/4100000256/mebgal-ariani-500ml.png?id=1659017186,1.29,"2,58€ ανά λίτρο","Διατροφικά Στοιχεία
Ανά 100ml
Ενέργεια 175 kj/42kcal
Λιπαρά	1,5g
κορεσμένα 1g
Υδατάνθρακες 3,7g
σάκχαρα 3,7g
Πρωτεϊνες 3,3g
Αλάτι 0,15g","['efresh', 'marketin']"
Misko Σπαγγέτι Νο 10 Ολικής Άλεσης (500g),Ζυμαρικά & Ρύζι,https://www.e-fresh.gr/el/spaggetini-no-10-olikhs-aleshs-misko-500-g,https://www.market-in.gr/el-gr/trofima-zumarika-makaronia/misko-olikhs-aleseos-spaggeti-no6-500gr-,1.52,3.040 € / kg,"Ακόμη πιο λεπτό ζυμαρικό από τα Νο6 και Νο7, για ακόμη πιο λεπτές γεύσεις. Δοκιμάστε το και θα μας θυμηθείτε! Η γεύση και το κράτημα MISKO είναι εγγυημένα σε όποια συνταγή και αν επιλέξετε για σήμερα. Και αν έχετε διάθεση για κάτι διαφορετικό, δοκιμάστε να βράσετε μαζί Νο7 και Νο10 για 6-8 λεπτά. Το Νο7 θα κρατάει λίγο περισότερο και το Νο10 θα είναι πιο μαλακό, οπότε θα έχετε μια μεικτή πρωτόγνωρη αίσθηση στο στόμα!Η γεύση και το κράτημα του λεπτού ζυμαρικού σε μεγαλύτερη πλέον ποικιλία, για ακόμα ποιοτικότερη διατροφή.Ζυμαρικό για ισορροπημένη διατροφή και γεύση και ιδανικό για να το συνοδεύσετε με σάλτσες.",https://dj0m4io8o9yuz.cloudfront.net/storage/media/catalog/products/410/9/4100001399/5201010009433-1.jpg?id=1678463726,1.11,"2,22€ ανά κιλό","Διατροφικά Στοιχεία
Διατροφικά Στοιχεία Ανά 100g
Ενέργεια: 1469 kj
Ενέργεια: 347 kcal
Λιπαρά: 2,7 g
Λιπαρά εκ των οποίων κορεσμένα: 0,6 g
Υδατάνθρακες: 64,0 g
Υδατάνθρακες εκ των οποίων σάκχαρα: 3,0 g
Εδώδιμες ίνες: 7,5 g
Πρωτεΐνες: 13,0 g
Αλάτι: 0,01 g","['efresh', 'marketin']"
